file,company,made_up_to,turnover,cost_of_sales,gross_profit,gross_margin
Prod223_4272_11792304_20260130.html,11792304,20260130,20633.0,20205.0,428.0,0.0207
Prod223_4272_11880290_20260331.html,11880290,20260331,44287.0,39893.0,4394.0,0.0992
Prod223_4272_12003250_20260531.html,12003250,20260531,266100.0,63501.0,202599.0,0.7614
Prod223_4272_12032505_20251031.html,12032505,20251031,1702332.0,1081316.0,621016.0,0.3648
Prod223_4272_12257437_20251031.html,12257437,20251031,25202.0,0.0,25202.0,1.0000
Prod223_4272_12286632_20251031.html,12286632,20251031,170.0,12036.0,-11866.0,-69.8000
Prod223_4272_12291707_20260531.html,12291707,20260531,0.0,0.0,0.0,
Prod223_4272_12292143_20251031.html,12292143,20251031,48236.0,37215.0,11021.0,0.2285
Prod223_4272_12308772_20251130.html,12308772,20251130,3000.0,3000.0,0.0,0.0000
Prod223_4272_12550335_20260430.html,12550335,20260430,16856.0,17050.0,-194.0,-0.0115
Prod223_4272_12740605_20250731.html,12740605,20250731,31911.0,40319.0,-8408.0,-0.2635
Prod223_4272_12925080_20251031.html,12925080,20251031,742.0,381.0,361.0,0.4865
Prod223_4272_12944504_20251031.html,12944504,20251031,0.0,0.0,0.0,
Prod223_4272_12956282_20251031.html,12956282,20251031,11250.0,15.0,11235.0,0.9987
Prod223_4272_12960435_20251031.html,12960435,20251031,44752.0,55.0,44697.0,0.9988
Prod223_4272_13233070_20260331.html,13233070,20260331,63258.0,39188.0,24070.0,0.3805
Prod223_4272_13520516_20251031.html,13520516,20251031,3957.0,10733.0,-6776.0,-1.7124
Prod223_4272_13657071_20251031.html,13657071,20251031,500.0,200.0,300.0,0.6000
Prod223_4272_13670775_20251031.html,13670775,20251031,24244.0,24368.0,-124.0,-0.0051
Prod223_4272_13679307_20251031.html,13679307,20251031,132.0,219.0,-87.0,-0.6591
Prod223_4272_13682833_20251031.html,13682833,20251031,88271.0,71793.0,16478.0,0.1867
Prod223_4272_13700534_20251031.html,13700534,20251031,53453.0,4447.0,49006.0,0.9168
Prod223_4272_13701075_20251031.html,13701075,20251031,312690.0,0.0,312690.0,1.0000
Prod223_4272_14252563_20251031.html,14252563,20251031,1284.0,1040.0,244.0,0.1900
Prod223_4272_14391682_20251031.html,14391682,20251031,21450.0,2414.0,19036.0,0.8875
Prod223_4272_14756196_20260331.html,14756196,20260331,11400.0,2853.0,8547.0,0.7497
Prod223_4272_14867437_20260531.html,14867437,20260531,23929.0,23929.0,0.0,0.0000
Prod223_4272_15000612_20250731.html,15000612,20250731,3004.0,159.0,2845.0,0.9471
Prod223_4272_15108319_20250831.html,15108319,20250831,0.0,0.0,0.0,
Prod223_4272_15111989_20250930.html,15111989,20250930,0.0,506.0,-506.0,
Prod223_4272_15150350_20250930.html,15150350,20250930,5907.0,5657.0,250.0,0.0423
Prod223_4272_15167477_20250930.html,15167477,20250930,0.0,0.0,0.0,
Prod223_4272_15199100_20251031.html,15199100,20251031,4387.0,0.0,4387.0,1.0000
Prod223_4272_15204642_20251031.html,15204642,20251031,14676.0,20425.0,-5749.0,-0.3917
Prod223_4272_15227775_20251031.html,15227775,20251031,31.0,20141.0,-20110.0,-648.7097
Prod223_4272_15239042_20251031.html,15239042,20251031,0.0,0.0,0.0,
Prod223_4272_15242244_20251031.html,15242244,20251031,159.0,93.0,66.0,0.4151
Prod223_4272_15488512_20260228.html,15488512,20260228,6265.0,3838.0,2427.0,0.3874
Prod223_4272_15537962_20260331.html,15537962,20260331,1112.0,504.0,608.0,0.5468
Prod223_4272_15558325_20260331.html,15558325,20260331,26180.0,0.0,26180.0,1.0000
Prod223_4272_15735360_20260531.html,15735360,20260531,116.0,0.0,116.0,1.0000
Prod223_4272_15881159_20250331.html,15881159,20250331,14143.0,12705.0,1438.0,0.1017
Prod223_4272_15984333_20250930.html,15984333,20250930,0.0,0.0,0.0,
Prod223_4272_16011407_20251031.html,16011407,20251031,0.0,0.0,0.0,
Prod223_4272_16026657_20251031.html,16026657,20251031,0.0,0.0,0.0,
Prod223_4272_16041982_20251031.html,16041982,20251031,14336.0,30717.0,-16381.0,-1.1426
Prod223_4272_16043382_20251031.html,16043382,20251031,27452.0,24435.0,3017.0,0.1099
Prod223_4272_16044318_20251031.html,16044318,20251031,96055.0,38060.0,57995.0,0.6038
Prod223_4272_16050046_20251031.html,16050046,20251031,39714.0,38463.0,1251.0,0.0315
Prod223_4272_16050287_20251031.html,16050287,20251031,16.0,0.0,16.0,1.0000
Prod223_4272_16055561_20251130.html,16055561,20251130,6207.0,5695.0,512.0,0.0825
Prod223_4272_16056738_20251130.html,16056738,20251130,0.0,0.0,0.0,
Prod223_4272_16061773_20251130.html,16061773,20251130,0.0,0.0,0.0,
Prod223_4272_16062057_20251130.html,16062057,20251130,16069.0,291.0,15778.0,0.9819
Prod223_4272_16066525_20251130.html,16066525,20251130,2700.0,1500.0,1200.0,0.4444
Prod223_4272_16067556_20251130.html,16067556,20251130,8366.0,7964.0,402.0,0.0481
Prod223_4272_16072552_20251130.html,16072552,20251130,0.0,0.0,0.0,
Prod223_4272_16088024_20251130.html,16088024,20251130,3631.0,8110.0,-4479.0,-1.2335
Prod223_4272_16203522_20260131.html,16203522,20260131,2533.0,2474.0,59.0,0.0233
Prod223_4272_16221394_20260131.html,16221394,20260131,40490.0,22014.0,18476.0,0.4563
Prod223_4272_16370868_20260430.html,16370868,20260430,0.0,0.0,0.0,
Prod223_4272_NI664824_20251031.html,NI664824,20251031,365837.0,352776.0,13061.0,0.0357
Prod223_4272_SC644673_20251031.html,SC644673,20251031,0.0,0.0,0.0,
Prod223_4272_SC739412_20250731.html,SC739412,20250731,6000.0,0.0,6000.0,1.0000
Prod223_4272_SC854523_20260724.html,SC854523,20260724,-1452.0,0.0,-1452.0,1.0000
